start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
1450	21280	1	A	0.76001	41	41	1	41
21810	50678	2	A	0.99998	108	67	42	108
50854	91606	3	A	0.9995	214	106	109	214
91718	121410	4	A	1.0	287	73	215	287
125450	139960	5	A	0.99527	317	30	288	317
174160	226188	6	B	0.5678	401	84	318	401
226274	226910	7	B	0.89024	402	1	402	402
231690	236280	8	B	0.53878	416	14	403	416
239850	278814	9	B	0.86	508	92	417	508
278862	306560	10	A	0.7826	585	77	509	585
307010	348618	11	A	0.99996	691	106	586	691
348704	352540	12	A	0.99822	703	12	692	703
355970	365200	13	A	0.66498	720	17	704	720
368070	390140	14	A	0.54224	737	17	721	737
394430	420740	15	C	0.91491	787	50	738	787
423590	433000	16	A	0.99871	810	23	788	810
442360	489280	17	A	0.98	895	85	811	895
489350	537920	18	A	0.99893	1004	109	896	1004
557450	588560	19	A	0.84739	1028	24	1005	1028
598200	645250	20	A	0.99657	1135	107	1029	1135
646100	689090	21	A	0.99986	1256	121	1136	1256
689620	699620	22	A	1.0	1278	22	1257	1278
705130	738180	23	A	0.99987	1334	56	1279	1334
739830	764060	24	D	0.99758	1384	50	1335	1384
766670	792146	25	D	1.0	1453	69	1385	1453
792168	832478	26	D	0.99989	1549	96	1454	1549
832564	857800	27	D	0.72615	1608	59	1550	1608
858810	883194	28	A	0.99994	1665	57	1609	1665
883242	934334	29	A	0.9999	1786	121	1666	1786
934452	946530	30	A	0.99703	1818	32	1787	1818
951990	995120	31	E	0.99807	1896	78	1819	1896
1004440	1030590	32	A	1.0	1957	61	1897	1957
1033280	1055190	33	A	1.0	2012	55	1958	2012
1057720	1074670	34	E	0.87314	2058	46	2013	2058
1077360	1128504	35	E	0.91608	2152	94	2059	2152
1128552	1139970	36	A	1.0	2174	22	2153	2174
1142740	1152470	37	A	0.99999	2203	29	2175	2203
1155400	1183100	38	A	0.78435	2268	65	2204	2268
1197660	1235960	39	F	0.74832	2347	79	2269	2347
1240050	1286990	40	G	0.99677	2417	70	2348	2417
1290930	1319160	41	F	0.88	2479	62	2418	2479
1321550	1329020	42	B	0.98098	2498	19	2480	2498
1332430	1355460	43	B	0.99986	2549	51	2499	2549
1356150	1386480	44	A	0.99994	2624	75	2550	2624
1392010	1394230	45	A	0.77295	2627	3	2625	2627
1397930	1421230	46	H	0.91714	2666	39	2628	2666
1424610	1465040	47	H	0.99875	2760	94	2667	2760
1467970	1470270	48	A	0.91	2763	3	2761	2763
1472770	1496866	49	A	0.99984	2822	59	2764	2822
1497058	1577570	50	A	0.9999	2987	165	2823	2987
1578070	1628210	51	A	0.99954	3088	101	2988	3088
1630470	1660890	52	A	0.9958	3148	60	3089	3148
1664050	1683250	53	A	0.99264	3201	53	3149	3201
1686230	1744070	54	G	0.99225	3297	96	3202	3297
1746330	1775890	55	A	0.99993	3359	62	3298	3359
1776550	1777300	56	A	0.99471	3360	1	3360	3360
1783590	1810730	57	A	0.9	3414	54	3361	3414
1819820	1828830	58	A	0.99976	3436	22	3415	3436
1833940	1847700	59	A	0.99936	3472	36	3437	3472
1855400	1922280	60	A	0.96	3631	159	3473	3631
1922350	1956736	61	A	0.96	3719	88	3632	3719
1956928	2002230	62	A	0.8855	3806	87	3720	3806
2004760	2030030	63	A	0.99942	3871	65	3807	3871
2030640	2056720	64	A	1.0	3935	64	3872	3935
2056880	2096096	65	A	1.0	4013	78	3936	4013
2096208	2099540	66	E	0.95836	4026	13	4014	4026
2104040	2145940	67	G	0.99998	4099	73	4027	4099
2147960	2173740	68	A	0.99996	4148	49	4100	4148
2177200	2201344	69	A	0.67	4214	66	4149	4214
2201472	2230860	70	A	0.99995	4280	66	4215	4280
2231200	2251910	71	A	1.0	4324	44	4281	4324
2255080	2298710	72	A	0.99973	4415	91	4325	4415
2299800	2328430	73	A	1.0	4472	57	4416	4472
2328880	2337680	74	A	0.97936	4491	19	4473	4491
2340260	2368920	75	G	0.8318	4543	52	4492	4543
2371990	2418830	76	A	0.53056	4645	102	4544	4645
2419650	2468320	77	A	0.71352	4755	110	4646	4755
2471830	2498620	78	A	0.99978	4807	52	4756	4807
2505070	2511870	79	A	0.70426	4822	15	4808	4822
2514050	2550890	80	A	0.99272	4895	73	4823	4895
2551040	2578782	81	A	0.7	4952	57	4896	4952
2578846	2604780	82	A	0.99999	4997	45	4953	4997
2605150	2640600	83	A	0.99984	5064	67	4998	5064
2641130	2686778	84	A	1.0	5156	92	5065	5156
2686874	2718840	85	C	0.99971	5228	72	5157	5228
2723070	2759410	86	H	0.95421	5311	83	5229	5311
2759750	2781194	87	H	0.74461	5387	76	5312	5387
2781312	2795040	88	H	0.9819	5435	48	5388	5435
2796850	2828518	89	A	0.94012	5502	67	5436	5502
2828614	2862870	90	A	0.64823	5580	78	5503	5580
2864090	2875210	91	A	0.99998	5598	18	5581	5598
2877230	2902020	92	A	0.99	5649	51	5599	5649
2908740	2911010	93	A	1.0	5655	6	5650	5655
2914680	2916820	94	A	0.99867	5660	5	5656	5660
2919320	2960384	95	C	0.90809	5766	106	5661	5766
2960422	2990350	96	A	0.93678	5846	80	5767	5846
2990880	3008800	97	A	1.0	5873	27	5847	5873
3011460	3042780	98	A	0.99616	5922	49	5874	5922
3046130	3080454	99	A	0.99743	5991	69	5923	5991
3080502	3109682	100	A	0.99982	6057	66	5992	6057
3109816	3110850	101	A	0.96892	6058	1	6058	6058
3113430	3166982	102	I	0.9801	6169	111	6059	6169
3167036	3213170	103	I	1.0	6256	87	6170	6256
3213830	3225560	104	I	0.99984	6281	25	6257	6281
3228830	3266690	105	A	0.99863	6351	70	6282	6351
3270170	3302062	106	A	0.99639	6411	60	6352	6411
3302116	3327710	107	A	1.0	6483	72	6412	6483
3327870	3330550	108	A	0.99614	6487	4	6484	6487
